foto_mes,column,mean_before,mean_after,median_before,median_after,multiplier,change_pct,count
202102,mcuentas_saldo,200047.05727038946,245632.1945012663,33539.02,41181.62594557331,1.227872070966096,22.78720709660959,162155
202103,mcuentas_saldo,209127.28898846783,245020.5700627817,34617.63,40559.1803817157,1.171633655502,17.163365550199998,163109
202104,mcuentas_saldo,212826.87434627762,239534.22553255918,32929.03,37061.24859849666,1.1254886220000002,12.548862200000016,163418
202105,mcuentas_saldo,215902.42182189767,235233.02925729944,32183.94,35065.49688396,1.0895339999999998,8.95339999999999,163917
202106,mcuentas_saldo,242641.73001801438,256169.0064665187,48424.45,51124.113087499994,1.0557500000000002,5.575000000000012,164313
202107,mcuentas_saldo,244444.31040535617,250555.41816549003,48922.655,50145.721374999994,1.025,2.4999999999999827,164596
202108,mcuentas_saldo,238273.62877661965,238273.62877661965,39013.240000000005,39013.240000000005,1.0,0.0,164822
201901,mtarjeta_visa_consumo,17676.796314806914,47598.61077599308,9606.16,25866.670789712505,2.692717047156461,169.27170471564608,124273
201902,mtarjeta_visa_consumo,16452.709318984696,42680.62702807327,9024.1,23409.776401969764,2.5941397371449524,159.41397371449526,125401
201903,mtarjeta_visa_consumo,16404.057779100876,40644.14339559442,8932.72,22132.49657381992,2.4776883831374903,147.76883831374906,125967
201904,mtarjeta_visa_consumo,18962.47242583256,45438.198883027384,10161.895,24350.105601704978,2.3962170049685594,139.6217004968559,126538
201906,mtarjeta_visa_consumo,18329.329451426973,41480.4648129791,10086.915,22827.34476663777,2.263065046809433,126.3065046809433,128734
201907,mtarjeta_visa_consumo,21178.63138207388,46896.888865002686,11364.615,25165.22796178687,2.2143493608702864,121.43493608702865,130268
201908,mtarjeta_visa_consumo,19776.01867877981,42106.744540302796,10604.17,22578.2087135191,2.1291820777598907,112.91820777598905,132143
201909,mtarjeta_visa_consumo,19960.777682513813,40132.32304037584,10843.42,21801.336662533668,2.010559091369113,101.0559091369113,133757
201911,mtarjeta_visa_consumo,22973.72998949245,42871.01090015424,12570.305,23457.300269470485,1.866088393994456,86.60883939944559,137996
201912,mtarjeta_visa_consumo,25426.808487712533,45755.71091151406,13432.13,24171.207232039298,1.7995066480177975,79.95066480177975,139980
202001,mtarjeta_visa_consumo,25319.571269238277,44538.35466662239,13984.945,24600.196969367804,1.7590485317867035,75.90485317867035,143464
202002,mtarjeta_visa_consumo,23077.49859511796,39798.47060887448,13055.369999999999,22514.734735717822,1.7245573841046118,72.45573841046117,146660
202003,mtarjeta_visa_consumo,23020.636817900777,38432.14831665177,13076.810000000001,21831.277101677668,1.6694650378553841,66.94650378553843,148798
202004,mtarjeta_visa_consumo,20900.133599196517,34376.396384596264,11963.045,19676.734358414447,1.6447931407442213,64.47931407442212,149350
202005,mtarjeta_visa_consumo,19783.434310573506,32058.77542304944,11185.39,18125.766254728078,1.6204858529499715,62.04858529499715,150792
202007,mtarjeta_visa_consumo,22209.35525163888,34558.59797739329,12372.055,19251.38618635261,1.5560378761937779,55.60378761937778,154984
202008,mtarjeta_visa_consumo,23367.584107988572,35404.91328838756,13163.65,19944.63290064092,1.5151293828566488,51.512938285664866,156461
202009,mtarjeta_visa_consumo,26169.12303843351,38569.65684739442,14450.69,21298.312277775043,1.4738612673702804,47.38612673702806,157805
202010,mtarjeta_visa_consumo,25157.020655906617,35720.57644236498,14100.99,20022.064540053616,1.4199048818596152,41.9904881859615,159169
202011,mtarjeta_visa_consumo,26648.087519313573,36664.486008619795,14810.295,20377.141639807218,1.3758768235073793,37.58768235073792,160250
202012,mtarjeta_visa_consumo,31424.40474226228,41573.182862878886,17191.2,22743.243892576975,1.3229584841417106,32.29584841417106,160997
202101,mtarjeta_visa_consumo,28981.3384777158,36866.44963545838,16310.91,20748.708431319104,1.2720754655208755,27.207546552087535,161527
202102,mtarjeta_visa_consumo,33722.733462057906,41407.20257469471,18759.88,23034.732706675444,1.2278720709660962,22.78720709660962,162155
202103,mtarjeta_visa_consumo,30822.69370463923,36112.90529758494,17602.24,20623.376796223525,1.171633655502,17.163365550199988,163109
202104,mtarjeta_visa_consumo,32645.423256740385,36742.05243583549,18722.6,21072.0732742572,1.125488622,12.548862200000002,163418
202105,mtarjeta_visa_consumo,33708.33725544025,36726.37952326884,19252.89,20976.67825326,1.089534,8.95340000000001,163917
202106,mtarjeta_visa_consumo,38935.04018909034,41105.66867963212,21966.57,23191.206277499998,1.05575,5.574999999999997,164313
202107,mtarjeta_visa_consumo,36797.47908740188,37717.41606458693,21142.23,21670.785749999995,1.025,2.5,164596
202108,mtarjeta_visa_consumo,38759.57763435707,38759.57763435707,22173.879999999997,22173.879999999997,1.0,0.0,164822
201901,mtarjeta_master_consumo,4344.466173746509,11698.418126841827,0.0,0.0,2.6927170471564605,169.27170471564605,124273
201902,mtarjeta_master_consumo,3950.754636565897,10248.809594425258,0.0,0.0,2.5941397371449524,159.41397371449526,125401
201903,mtarjeta_master_consumo,3904.055989981503,9673.034173495504,0.0,0.0,2.4776883831374903,147.768838313749,125967
201904,mtarjeta_master_consumo,4408.711814790814,10564.230220607546,0.0,0.0,2.396217004968559,139.6217004968559,126538
201906,mtarjeta_master_consumo,3993.476848928799,9037.497872053438,0.0,0.0,2.263065046809433,126.30650468094326,128734
201907,mtarjeta_master_consumo,4772.409815687659,10567.78262517905,0.0,0.0,2.214349360870287,121.43493608702866,130268
201908,mtarjeta_master_consumo,4267.402453781131,9086.076823179365,0.0,0.0,2.1291820777598907,112.91820777598906,132143
201909,mtarjeta_master_consumo,4272.146958962895,8589.403908007758,0.0,0.0,2.0105590913691134,101.05590913691131,133757
201911,mtarjeta_master_consumo,4843.750860894518,9038.867264915916,0.0,0.0,1.8660883939944561,86.60883939944563,137996
201912,mtarjeta_master_consumo,5356.768998571224,9639.541424824558,0.0,0.0,1.7995066480177977,79.95066480177975,139980
202001,mtarjeta_master_consumo,5180.129196035243,9112.098656751232,0.0,0.0,1.7590485317867037,75.90485317867038,143464
202002,mtarjeta_master_consumo,4544.903632346925,7837.94711920776,0.0,0.0,1.7245573841046113,72.45573841046114,146660
202003,mtarjeta_master_consumo,4474.386868707912,7469.832443147089,0.0,0.0,1.6694650378553844,66.94650378553844,148798
202004,mtarjeta_master_consumo,4115.070673317709,6768.440017150672,0.0,0.0,1.6447931407442211,64.47931407442212,149350
202005,mtarjeta_master_consumo,3626.006701947053,5875.892563206983,0.0,0.0,1.6204858529499715,62.04858529499715,150792
202007,mtarjeta_master_consumo,4361.85973029474,6787.218950982992,0.0,0.0,1.5560378761937779,55.60378761937778,154984
202008,mtarjeta_master_consumo,4711.330519234825,7138.275302041954,0.0,0.0,1.5151293828566486,51.512938285664845,156461
202009,mtarjeta_master_consumo,5605.713014543266,8262.043288128814,0.0,0.0,1.4738612673702807,47.38612673702807,157805
202010,mtarjeta_master_consumo,5215.577163957806,7405.623476819214,0.0,0.0,1.419904881859615,41.9904881859615,159169
202011,mtarjeta_master_consumo,5947.723801934478,8183.33533170484,0.0,0.0,1.375876823507379,37.5876823507379,160250
202012,mtarjeta_master_consumo,6934.744134859656,9174.378588564548,0.0,0.0,1.3229584841417106,32.29584841417106,160997
202101,mtarjeta_master_consumo,6419.465482736632,8166.044542347393,0.0,0.0,1.2720754655208755,27.207546552087546,161527
202102,mtarjeta_master_consumo,7645.075593907065,9387.174802183023,0.0,0.0,1.2278720709660957,22.78720709660958,162155
202103,mtarjeta_master_consumo,6700.737637346805,7850.809732604471,0.0,0.0,1.1716336555019997,17.163365550199984,163109
202104,mtarjeta_master_consumo,7422.510553243828,8353.951174350854,0.0,0.0,1.125488622,12.548862199999997,163418
202105,mtarjeta_master_consumo,7859.827613060268,8563.549418568007,0.0,0.0,1.0895340000000002,8.953400000000014,163917
202106,mtarjeta_master_consumo,9471.814377985918,9999.868029558633,0.0,0.0,1.05575,5.574999999999995,164313
202107,mtarjeta_master_consumo,8321.891408357433,8529.938693566368,0.0,0.0,1.025,2.499999999999992,164596
202108,mtarjeta_master_consumo,8924.943175425611,8924.943175425611,0.0,0.0,1.0,0.0,164822
201901,mautoservicio,7192.188398928166,19366.528308154804,2309.23,6218.102986805114,2.6927170471564605,169.27170471564605,124273
201902,mautoservicio,7056.40298155517,18305.29537576039,2286.17,5930.644442868676,2.594139737144953,159.41397371449528,125401
201903,mautoservicio,7114.008671159907,17626.296642072277,2325.6,5762.112103824547,2.4776883831374903,147.76883831374906,125967
201904,mautoservicio,7165.50362815913,17170.101642958816,2332.81,5589.918991360705,2.3962170049685594,139.6217004968559,126538
201906,mautoservicio,7335.896030807712,16601.60989434899,2381.19,5388.787858812154,2.263065046809433,126.3065046809433,128734
201907,mautoservicio,9159.991353977954,20283.42100025843,3250.9700000000003,7198.783341708475,2.2143493608702864,121.43493608702862,130268
201908,mautoservicio,8330.30846817463,17736.74349264887,2768.28,5894.172162221151,2.1291820777598907,112.91820777598909,132143
201909,mautoservicio,8572.932906240421,17236.388194339106,2894.36,5819.281811695106,2.0105590913691125,101.05590913691125,133757
201911,mautoservicio,9150.3344188962,17075.332860270206,3080.38,5748.261367092642,1.8660883939944561,86.60883939944563,137996
201912,mautoservicio,12466.282162451778,22433.157627397664,4820.59,8674.683752368115,1.799506648017798,79.9506648017798,139980
202001,mautoservicio,11367.170896601237,19995.405276234957,4023.39,7077.3382723053055,1.7590485317867037,75.90485317867038,143464
202002,mautoservicio,10792.828912382382,18612.85279622678,3741.87,6453.069538859522,1.7245573841046116,72.45573841046115,146660
202003,mautoservicio,10184.904477009099,17003.341938263467,3472.08,5796.516168636922,1.6694650378553844,66.94650378553843,148798
202004,mautoservicio,9071.610644861064,14920.922964169738,2452.8,4034.348615617425,1.6447931407442211,64.4793140744221,149350
202005,mautoservicio,9885.767137845509,16019.745792436377,2895.76,4692.53811353841,1.6204858529499715,62.04858529499714,150792
202007,mautoservicio,12714.339035642388,19783.99311022863,4442.375,6912.503760256333,1.5560378761937779,55.6037876193778,154984
202008,mautoservicio,12464.624691584484,18885.51911650014,4363.19,6610.797371986299,1.5151293828566486,51.512938285664845,156461
202009,mautoservicio,12400.570990653021,18276.721276399,4479.68,6602.426842213299,1.4738612673702807,47.38612673702807,157805
202010,mautoservicio,13937.804694946879,19790.35692876094,5476.29,7775.810905478992,1.4199048818596152,41.990488185961524,159169
202011,mautoservicio,14467.024100405617,19904.843164870777,5734.889999999999,7890.502236364233,1.375876823507379,37.5876823507379,160250
202012,mautoservicio,20394.82840997037,26981.511277584697,9572.85,12664.483124915974,1.3229584841417108,32.29584841417107,160997
202101,mautoservicio,17852.192410123385,22709.335970675944,7771.12,9885.451091618586,1.2720754655208755,27.207546552087543,161527
202102,mautoservicio,17121.356127717307,21022.835006288307,7439.43,9134.668320907303,1.227872070966096,22.7872070966096,162155
202103,mautoservicio,19784.72030114831,23180.444169519025,8877.06,10400.662257910582,1.171633655502,17.163365550199998,163109
202104,mautoservicio,19459.963824854054,21901.96786940484,8481.89,9546.270688055582,1.1254886220000002,12.548862200000016,163418
202105,mautoservicio,19964.015186588334,21751.473322304337,8572.72,9340.26991248,1.0895340000000002,8.953400000000011,163917
202106,mautoservicio,21798.248040325478,23013.500368573623,10020.25,10578.8789375,1.05575,5.574999999999999,164313
202107,mautoservicio,25708.087849886993,26350.790046134167,12458.224999999999,12769.680624999997,1.025,2.499999999999995,164596
202108,mautoservicio,24260.631581706326,24260.631581706326,11558.224999999999,11558.224999999999,1.0,0.0,164822
